Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"sweets parade - lyrical Remix","Kana Hanazawa","KANAight 〜花澤香菜キャラソン ウルトラリミックス〜","Favorite Songs","Favorite","JPE301600676","6DtNYY90WNCKXVzYzmJBBh"
"Not Angry","Chris James","Not Angry","Favorite Songs","Favorite","USL4Q2038947","720bDWggHx9KL3TzKZeM1c"
"again","YUI","HOLIDAYS IN THE SUN","Favorite Songs","Favorite","JPSR00900821","4OQq1bcP12GQQXJNupxqfR"
"花に亡霊","ヨルシカ","盗作","Favorite Songs","Favorite","JPPO02001032","3FUqp10RhCmMjyyB9extmo"
"LOSER","Kenshi Yonezu","BOOTLEG","Favorite Songs","Favorite","JPU901602597","7AqUE5AY514dbzeOAfJRa0"
"運命の人","『ユイカ』","紺色に憧れて","Favorite Songs","Favorite","JPPO02303434","1Ho9JQmp7FPomDQ5mbusw0"
"恋をしているみたいなの","『ユイカ』","紺色に憧れて","Favorite Songs","Favorite","JPPO02400149","2gfWGM1lXFaO26Hm5AfozH"
"スノードーム","『ユイカ』","紺色に憧れて","Favorite Songs","Favorite","JPPO02303993","4jYl2LqogYDtf0h4ROsB5t"
"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons","Mercury - Acts 1 & 2","Favorite Songs","Favorite","USUM72119916","3CIyK1V4JEJkg02E4EJnDl"
"GODS","League of Legends","GODS","Favorite Songs","Favorite","QZH6S1900802","210JJAa9nJOgNa0YNrsT5g"
"Enemy - From the series Arcane League of Legends","Imagine Dragons","Enemy - from the series Arcane League of Legends","Favorite Songs","Favorite","USUM72120989","5UlnuulVAVmmesw4VzqHdG"
"Legends Never Die - (Remix)","League of Legends","Legends Never Die (Remix)","Favorite Songs","Favorite","QMAF31500063","66YtIqT0kN4958EXnCnAmE"
"Warriors","League of Legends","Warriors","Favorite Songs","Favorite","QZH6S1900254","3f4fc8c8unrQeKecmUPEDR"
"スイマー","花譜","GSA","Favorite Songs","Favorite","JPY392401877","0RLSPWeMYmqPynl2y8jhh2"
"邂逅","花譜","狂想","Favorite Songs","Favorite","JPY392200809","6wEpSYhoD5ZENzdIMYzR6g"
"あわく心模様","森先化歩","Memories KAMITSUBAKI CITY UNDER CONSTRUCTION THEME SONGS COLLECTION","Favorite Songs","Favorite","JPY392100255","2YRyWk4JTw45WfpXNw8tAd"
"＆疾走(Reverse) ft.花譜","Dios","＆疾走 (Deluxe ver.)","Favorite Songs","Favorite","JPC102300225","0G2X34hx1ks0LRf2Zwa9NT"
"灯火","niKu","灯火","Favorite Songs","Favorite","TCJPP2162980","2aFWdd241YFiM9oH5BCxm4"
"新世界へ","Albemuth","eve","Favorite Songs","Favorite","JPY392200376","5H4G0URWqLf6sZ6lypKRU9"
"金木犀","水野あつ","金木犀","Favorite Songs","Favorite","TCJPP2188500","5EWE70JMUwuFM0BWJLBz2m"
"無理に笑わなくて良いよ","水野あつ","無理に笑わなくて良いよ","Favorite Songs","Favorite","TCJPR2218033","6orPq4W2CSDSR7VV85jhrE"
"a thousand years","Christina Perri","a thousand years","Favorite Songs","Favorite","USAT21102141","6lanRgr6wXibZr8KgzXxBl"
"Dance Monkey","Tones And I","Welcome To The Madhouse (Deluxe)","Favorite Songs","Favorite","QZES71982312","2N8m6CYs74qQO4mjVcXO30"
"On My Way","Alan Walker","Live Fast (Japan Exclusive)","Favorite Songs","Favorite","NOG841901010","7KhHA3mzt7A3LFlOJEAKpI"
"Play","K-391","Play","Favorite Songs","Favorite","NOG841904010","4jp4Z02kzzg8gK0NmDGgml"
"グランドエスケープ","RADWIMPS","天気の子 (complete version)","Favorite Songs","Favorite","JPV971900063","5bUWFHUTbXQcmqI6vWL62j"
"Amanojaku - Wing Piano Ver.","Akie秋绘","Amanojaku (Wing Piano Ver.)","Favorite Songs","Favorite","JPPC02210045","5y1Ou2ZhpwQIgDvTg6f2Wy"
"Daisy","花鋏キョウ","Petrichor","Favorite Songs","Favorite","TCJPP2162262","07NfSC0x4mEaVpBqDJchgm"
"ハナタバ","MIMI","よるつむぎ","Favorite Songs","Favorite","JPY392200727","3R3JSXXyr2smZGP2xamRjy"
"Virtual to LIVE","にじさんじ","Virtual to LIVE","Favorite Songs","Favorite","JPZ921909910","1nALR2zDcS7cZVnH4HNe8N"
"酔いどれ知らず","Kanaria","酔いどれ知らず","Favorite Songs","Favorite","TCJPR2280966","4oPCfEDVIKnPJ6UPkhJPCa"
"Surges","Orangestar","Surges","Favorite Songs","Favorite","JPA652105516","5XhxMq0dQNenKr6eDU79Ka"
"ハロ／ハワユ","Kano","rye","Favorite Songs","Favorite","JPTE01809880","3RtQYIP2b5J6eZU1pncuDs"
"アディオス","DAZBEE","orbit","Favorite Songs","Favorite","JPPO02202739","0jyxo8MlRDZu0S0e7yUBDD"
"縋った恋に、サヨナラを。","Matsuri","縋った恋に、サヨナラを。","Favorite Songs","Favorite","TCJPR2286854","4geHozLnnTOypnL9wIK4Yv"
"エルマ","ヨルシカ","だから僕は音楽を辞めた","Favorite Songs","Favorite","JPA651904583","5YCwibP7MrreKevBdimMZU"
"あいつら全員同窓会","ZUTOMAYO","沈香学","Favorite Songs","Favorite","JPPO02101873","7rzoBRR4LbJZH5t7Q6qeTn"
"怪物","YOASOBI","THE BOOK 2","Favorite Songs","Favorite","JPP302000760","6uhIF5J5Txaie0is2nXdxU"
"忘れじの言の葉 - 2022","未来古代楽団","忘れじの言の葉／エデンの揺り籃","Favorite Songs","Favorite","TCJPS2290216","6c8WsLLpt4rcFMQURDNQO1"
"Diamond City Lights","LazuLight","Diamond City Lights","Favorite Songs","Favorite","JPY252100028","5TCyp6n14NjGnQuRMsWL4h"
"ハルカ","YOASOBI","THE BOOK","Favorite Songs","Favorite","JPP302000676","5D9MPWdY2hjSeTIGE5n5kv"
"泥中に咲く","Wolpis Carter","これからもウォルピス社の提供でお送りします。","Favorite Songs","Favorite","JPT361800093","1T7OVSd5A5H0Ic82eu6Mbm"
"香水","DAZBEE","Remindful.Two","Favorite Songs","Favorite","JPPO02201833","4Lfm5HcL9BOiF45GCuk47X"
"時の踊り子","DAZBEE","Remindful.One","Favorite Songs","Favorite","JPPO02105389","6W3QlO4Q8XY6HHxhXBKBQO"
"忘れじの言の葉","DAZBEE","Remindful.Two","Favorite Songs","Favorite","JPPO02201832","3bhP5Db4ZBcvqE0oJRLzhU"
"回る空うさぎ","DAZBEE","Remindful.One","Favorite Songs","Favorite","JPPO02105385","5NITYjCmkHJEm03GUor1R1"
"忘れてください","ヨルシカ","忘れてください","Favorite Songs","Favorite","JPPO02403065","7raKnLKyQSatDiVVpiZDds"
"眠れない","MIMiNARI","眠れない","Favorite Songs","Favorite","JPU902304060","12al9sDYshsCcdF4HMuIpZ"
"チノカテ","ヨルシカ","幻燈","Favorite Songs","Favorite","JPPO02202608","7HIfg6iQgXkVEUMHAAXW2d"
"世界は恋に落ちている","CHiCO with HoneyWorks","世界はｉに満ちている","Favorite Songs","Favorite","JPX401400045","7JPAO45DZOmN2bciVaBia5"
"彼女は旅に出る","sana","Hush a by little girl","Favorite Songs","Favorite","TCJPG1704896","69hfy1DpoHDZEwFGI93HsG"
"触れていたいだけ","MIMI","触れていたいだけ","Favorite Songs","Favorite","TCJPZ2462983","3Zukt7yYaMt6l7rptAAqzn"
"嘘月","ヨルシカ","創作","Favorite Songs","Favorite","JPPO02001548","4MwVirVMyerMiHkFomOZay"
"そばにいて。","『ユイカ』","紺色に憧れて","Favorite Songs","Favorite","JPPO02103567","6QlZBh9BqqK4d7gBRtkbEZ"
"His Theme","Toby Fox","UNDERTALE Soundtrack","Favorite Songs","Favorite","USE831569689","46A71ZDLPRIFCppAdV2W6j"
"ヨワネハキ","MAISONdes","ヨワネハキ","Favorite Songs","Favorite","JPU902101067","0FOVGBW0RpVRuDuUuN4ZVw"
"JUMP IN","めぐみん (CV: 高橋李依)","TVアニメ『この素晴らしい世界に爆焔を!』エンディング・テーマ「JUMP IN」","Favorite Songs","Favorite","JPCO02234380","22GHntTE9yUxA12jwpX62m"
"レクイエム","Kanaria","レクイエム","Favorite Songs","Favorite","TCJPV2364365","0MEFe9pCWd4BP8tw5sfh3K"
"オーライア","niKu","オーライア","Favorite Songs","Favorite","TCJPP2199035","4jWknruewJnTodrkqcYfCF"
"命に嫌われている","カンザキイオリ","不器用な男","Favorite Songs","Favorite","JPY392100001","1hl2HnJJUVIB1yDSEkQaJs"
"鍵っ子","sana","Hush a by little girl","Favorite Songs","Favorite","TCJPG1704894","5LJJ7hca7K4LzE3jPHwipu"
"アンコール","YOASOBI","THE BOOK","Favorite Songs","Favorite","JPP302000677","465JzFiajJO59sUrDFsxdC"
